,Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
25,26.0,Minnesota Timberwolves,82,240.6,37.5,83.1,0.451,5.4,15.4,0.35,32.1,67.8,0.474,15.2,20.6,0.736,11.8,29.6,41.4,19.9,7.5,3.7,14.5,23.0,95.6,2008
26,27.0,Portland Trail Blazers,82,242.7,35.8,79.8,0.448,6.6,17.4,0.377,29.2,62.4,0.468,17.2,22.5,0.767,11.0,29.7,40.7,21.1,5.5,4.4,12.9,20.0,95.4,2008
27,28.0,San Antonio Spurs*,82,240.6,35.8,78.3,0.457,7.2,19.6,0.369,28.6,58.7,0.487,16.5,21.6,0.761,9.4,31.9,41.3,21.0,6.4,4.1,12.6,18.7,95.4,2008
28,29.0,Los Angeles Clippers,82,241.5,34.4,78.6,0.438,4.3,13.2,0.324,30.1,65.4,0.46,20.8,26.6,0.781,9.8,30.4,40.1,21.1,6.8,4.9,14.4,21.3,93.8,2008
29,30.0,Miami Heat,82,241.8,34.2,77.3,0.443,6.0,16.7,0.358,28.3,60.5,0.467,16.9,23.2,0.727,9.1,28.6,37.6,20.0,7.2,4.3,14.7,20.4,91.4,2008
30,,League Average,82,241.5,37.3,81.5,0.457,6.6,18.1,0.362,30.7,63.4,0.484,18.8,24.9,0.755,11.2,30.8,42.0,21.8,7.3,4.7,14.1,21.0,99.9,2008
0,1.0,Phoenix Suns,82,240.9,41.1,81.6,0.504,6.7,17.6,0.383,34.4,64.0,0.537,20.4,27.5,0.744,11.0,30.7,41.7,23.2,7.2,5.1,15.7,20.6,109.4,2009
1,2.0,Golden State Warriors,82,242.4,39.4,86.0,0.458,6.7,18.0,0.373,32.7,68.0,0.48,23.1,29.2,0.791,11.6,30.4,42.0,20.9,7.8,6.4,14.6,22.5,108.6,2009
2,3.0,Los Angeles Lakers*,82,241.2,40.3,85.1,0.474,6.7,18.5,0.361,33.7,66.6,0.505,19.6,25.5,0.77,12.4,31.5,43.9,23.3,8.8,5.1,13.5,20.7,106.9,2009
3,4.0,New York Knicks,82,241.5,38.5,86.5,0.445,10.0,27.9,0.36,28.5,58.6,0.486,18.2,23.2,0.784,11.1,31.0,42.1,21.2,7.4,2.5,14.3,20.4,105.2,2009
4,5.0,Indiana Pacers,82,241.8,39.3,86.3,0.455,8.0,21.0,0.378,31.3,65.3,0.48,18.6,23.0,0.807,11.3,32.5,43.7,21.6,7.0,5.3,14.5,23.1,105.1,2009
5,6.0,Denver Nuggets*,82,240.6,37.3,79.4,0.47,6.7,18.0,0.371,30.6,61.4,0.499,23.1,30.3,0.76,11.0,30.6,41.6,22.2,8.7,6.0,15.3,22.9,104.3,2009
6,7.0,Utah Jazz*,82,242.4,38.3,80.8,0.475,4.8,13.7,0.349,33.5,67.1,0.5,22.1,28.7,0.771,11.5,29.5,41.0,24.7,8.8,4.6,14.8,22.3,103.6,2009
7,8.0,Chicago Bulls*,82,243.0,38.1,83.5,0.457,6.0,15.8,0.381,32.1,67.7,0.474,19.9,25.0,0.796,11.8,30.3,42.1,21.1,7.5,5.5,14.5,20.8,102.2,2009
