Team,Age,Wins,Losses,Year,Playoff,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,3PAr,eFG%,FT,FTA,FT%,TS%,AST,ORB,TRB,PTS,MOV,ORtg,DRtg,Pace,TOV%,ORB%,Finals_Rk
San Antonio Spurs,27.1,28,54,1987,False,43.1,90.9,47.4,41.6,86.0,48.4,1.4,4.9,28.999999999999996,5.4,48.199999999999996,20.7,28.0,74.2,52.5,27.1,15.7,44.3,108.3,-5.1,105.9,110.8,101.7,14.2,34.3,Never Qualified
New York Knicks,26.4,24,58,1987,False,40.6,85.6,47.4,39.1,81.1,48.199999999999996,1.5,4.6,33.300000000000004,5.3,48.3,21.0,28.8,73.0,52.800000000000004,23.7,13.5,39.9,103.8,-6.27,104.8,111.1,98.5,15.0,31.2,Never Qualified
Los Angeles Clippers,26.2,12,70,1987,False,40.4,89.4,45.2,39.4,85.2,46.300000000000004,1.0,4.2,22.400000000000002,4.7,45.7,22.8,30.7,74.2,50.8,24.0,15.0,41.1,104.5,-11.43,101.2,112.3,102.7,15.0,31.8,Never Qualified
Boston Celtics,29.8,57,25,1988,True,43.9,84.2,52.1,40.6,75.6,53.7,3.3,8.6,38.4,10.2,54.1,22.5,28.0,80.30000000000001,58.8,29.9,11.3,41.1,113.6,5.94,115.4,109.4,97.9,14.1,29.8,Knocked Out
Los Angeles Lakers,28.9,62,20,1988,True,43.6,86.3,50.5,41.9,80.5,52.0,1.7,5.8,29.7,6.800000000000001,51.5,23.9,30.2,78.9,56.599999999999994,28.6,13.1,43.5,112.8,5.84,113.1,107.3,99.1,13.9,32.3,Champion
Detroit Pistons,27.5,54,28,1988,True,42.2,85.6,49.3,41.5,83.1,49.9,0.7,2.5,28.7,2.9000000000000004,49.7,24.1,31.9,75.7,54.800000000000004,24.5,14.4,44.7,109.2,5.17,110.5,105.3,98.3,14.2,34.2,Runner-Up
Dallas Mavericks,27.0,53,29,1988,True,41.6,87.7,47.5,39.7,81.3,48.9,1.9,6.4,29.299999999999997,7.3,48.5,24.1,30.6,78.9,54.0,24.2,16.4,46.8,109.3,4.37,112.2,107.7,97.0,13.2,37.5,Knocked Out
Portland Trail Blazers,27.1,53,29,1988,True,44.6,91.0,49.1,43.2,86.3,50.1,1.4,4.6,30.8,5.1,49.9,25.4,32.9,77.0,55.00000000000001,28.1,15.3,45.6,116.1,4.52,111.8,107.4,103.6,13.5,34.3,Knocked Out
Denver Nuggets,28.7,54,28,1988,True,46.0,97.1,47.4,43.6,90.2,48.4,2.3,6.9,34.2,7.1,48.6,22.5,27.9,80.4,53.400000000000006,28.0,14.2,44.0,116.7,4.07,110.1,106.3,105.5,11.7,29.7,Knocked Out
Utah Jazz,27.3,47,35,1988,True,42.5,86.5,49.1,40.9,81.6,50.2,1.6,4.9,31.900000000000002,5.7,50.0,22.0,29.3,75.0,54.6,29.4,13.0,44.1,108.5,3.68,106.8,103.1,101.5,15.4,30.4,Knocked Out
