Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,ORB,TRB,AST,TOV,PTS,Year,Playoff,Finals_Rk
Detroit Pistons,3461,7018,49.3,3403,6816,49.9,58,202,28.7,1977,2612,1181,3663,2011,1348,8957,1988,True,Runner-Up
Houston Rockets,3465,7354,47.099999999999994,3396,7063,48.1,69,291,23.7,1936,2483,1239,3769,1936,1367,8935,1988,True,Knocked Out
Phoenix Suns,3551,7302,48.6,3433,6945,49.4,118,357,33.1,1681,2200,1113,3492,2332,1413,8901,1988,False,Never Qualified
Utah Jazz,3484,7092,49.1,3355,6688,50.2,129,404,31.900000000000002,1802,2404,1066,3619,2407,1481,8899,1988,True,Knocked Out
Sacramento Kings,3458,7337,47.099999999999994,3314,6887,48.1,144,450,32.0,1795,2324,1232,3693,2116,1457,8855,1988,False,Never Qualified
Atlanta Hawks,3443,7102,48.5,3358,6820,49.2,85,282,30.099999999999998,1873,2441,1228,3607,2062,1225,8844,1988,True,Knocked Out
Golden State Warriors,3463,7404,46.800000000000004,3372,7092,47.5,91,312,29.2,1754,2204,1140,3392,2005,1395,8771,1988,False,Never Qualified
Milwaukee Bucks,3366,7079,47.5,3233,6669,48.5,133,410,32.4,1832,2364,1117,3452,2194,1275,8697,1988,True,Knocked Out
Philadelphia 76ers,3214,6785,47.4,3062,6314,48.5,152,471,32.300000000000004,2087,2731,1219,3526,1897,1433,8667,1988,False,Never Qualified
New York Knicks,3363,7232,46.5,3184,6665,47.8,179,567,31.6,1750,2306,1286,3480,2012,1518,8655,1988,True,Knocked Out
Washington Wizards,3355,7164,46.800000000000004,3326,7026,47.3,29,138,21.0,1914,2476,1229,3526,1875,1384,8653,1988,True,Knocked Out
Chicago Bulls,3434,7015,49.0,3378,6772,49.9,56,243,23.0,1685,2221,1170,3629,2149,1263,8609,1988,True,Knocked Out
Indiana Pacers,3436,7154,48.0,3273,6669,49.1,163,485,33.6,1546,1982,1078,3535,1977,1318,8581,1988,False,Never Qualified
Cleveland Cavaliers,3313,6755,49.0,3186,6419,49.6,127,336,37.8,1813,2438,1015,3304,2070,1439,8566,1988,True,Knocked Out
Brooklyn Nets,3208,6857,46.800000000000004,3071,6402,48.0,137,455,30.099999999999998,1682,2308,1075,3337,1795,1503,8235,1988,False,Never Qualified
Los Angeles Clippers,3190,7194,44.3,3111,6877,45.2,79,317,24.9,1644,2305,1191,3541,1885,1534,8103,1988,False,Never Qualified
Phoenix Suns,3754,7545,49.8,3586,7064,50.8,168,481,34.9,2051,2594,1095,3714,2280,1279,9727,1989,True,Knocked Out
Denver Nuggets,3813,8140,46.800000000000004,3585,7464,48.0,228,676,33.7,1821,2314,1206,3719,2282,1225,9675,1989,True,Knocked Out
New York Knicks,3701,7611,48.6,3315,6464,51.300000000000004,386,1147,33.7,1779,2366,1322,3587,2083,1572,9567,1989,True,Knocked Out
Golden State Warriors,3730,7977,46.800000000000004,3536,7348,48.1,194,629,30.8,1904,2384,1323,3884,2009,1488,9558,1989,True,Knocked Out
Los Angeles Lakers,3584,7143,50.2,3357,6476,51.800000000000004,227,667,34.0,2011,2508,1094,3706,2282,1344,9406,1989,True,Runner-Up
Portland Trail Blazers,3695,7795,47.4,3479,7150,48.699999999999996,216,645,33.5,1789,2416,1384,3765,2212,1435,9395,1989,True,Knocked Out
Oklahoma City Thunder,3564,7478,47.699999999999996,3271,6704,48.8,293,774,37.9,1775,2379,1397,3635,2083,1403,9196,1989,True,Knocked Out
Philadelphia 76ers,3500,7201,48.6,3296,6555,50.3,204,646,31.6,1970,2504,1143,3499,2110,1214,9174,1989,True,Knocked Out
Atlanta Hawks,3412,7230,47.199999999999996,3302,6833,48.3,110,397,27.700000000000003,2168,2709,1372,3688,1990,1310,9102,1989,True,Knocked Out
Boston Celtics,3520,7143,49.3,3442,6834,50.4,78,309,25.2,1840,2349,1179,3621,2189,1336,8958,1989,True,Knocked Out
Milwaukee Bucks,3399,7167,47.4,3220,6600,48.8,179,567,31.6,1955,2382,1133,3405,2071,1305,8932,1989,True,Knocked Out
Cleveland Cavaliers,3466,6904,50.2,3296,6430,51.300000000000004,170,474,35.9,1821,2438,1033,3508,2260,1323,8923,1989,True,Knocked Out
Houston Rockets,3412,7196,47.4,3248,6673,48.699999999999996,164,523,31.4,1909,2527,1211,3765,2016,1569,8897,1989,True,Knocked Out
Washington Wizards,3519,7591,46.400000000000006,3467,7348,47.199999999999996,52,243,21.4,1789,2318,1254,3608,2048,1291,8879,1989,False,Never Qualified
Indiana Pacers,3385,6945,48.699999999999996,3183,6330,50.3,202,615,32.800000000000004,1795,2275,1065,3562,2012,1547,8767,1989,False,Never Qualified
Detroit Pistons,3395,6879,49.4,3275,6479,50.5,120,400,30.0,1830,2379,1154,3700,2027,1336,8740,1989,True,Champion
Chicago Bulls,3448,6968,49.5,3274,6438,50.9,174,530,32.800000000000004,1656,2106,1018,3471,2213,1327,8726,1989,True,Knocked Out
Los Angeles Clippers,3526,7428,47.5,3472,7194,48.3,54,234,23.1,1606,2220,1156,3540,2208,1666,8712,1989,False,Never Qualified
San Antonio Spurs,3469,7409,46.800000000000004,3406,7116,47.9,63,293,21.5,1651,2367,1295,3476,2037,1712,8652,1989,False,Never Qualified
Sacramento Kings,3362,7351,45.7,3055,6527,46.800000000000004,307,824,37.3,1620,2104,1141,3595,1970,1370,8651,1989,False,Never Qualified
Utah Jazz,3182,6595,48.199999999999996,3068,6215,49.4,114,380,30.0,2110,2742,1050,3657,2108,1532,8588,1989,True,Knocked Out
Charlotte Hornets,3426,7430,46.1,3292,7000,47.0,134,430,31.2,1580,2060,1138,3338,2323,1318,8566,1989,False,Never Qualified
Brooklyn Nets,3333,7226,46.1,3146,6658,47.3,187,568,32.9,1653,2260,1204,3623,1793,1449,8506,1989,False,Never Qualified
Dallas Mavericks,3244,6917,46.9,3033,6236,48.6,211,681,31.0,1785,2263,1048,3445,1867,1233,8484,1989,False,Never Qualified
Miami Heat,3221,7116,45.300000000000004,3124,6818,45.800000000000004,97,298,32.6,1477,2103,1309,3520,1958,1728,8016,1989,False,Never Qualified
Golden State Warriors,3489,7208,48.4,3246,6458,50.3,243,750,32.4,2313,2858,915,3300,1978,1415,9534,1990,False,Never Qualified
Phoenix Suns,3544,7139,49.6,3368,6596,51.1,176,543,32.4,2159,2716,1053,3704,2109,1275,9423,1990,True,Knocked Out
Denver Nuggets,3716,8015,46.400000000000006,3488,7338,47.5,228,677,33.7,1737,2201,1169,3701,2275,1136,9397,1990,True,Knocked Out
Portland Trail Blazers,3572,7547,47.3,3382,6982,48.4,190,565,33.6,2031,2734,1355,3907,2085,1356,9365,1990,True,Runner-Up
Orlando Magic,3457,7525,45.9,3341,7132,46.800000000000004,116,393,29.5,2060,2725,1304,3769,1993,1407,9090,1990,False,Never Qualified
Los Angeles Lakers,3434,7010,49.0,3125,6169,50.7,309,841,36.7,1902,2417,1097,3557,2232,1226,9079,1990,True,Knocked Out
Philadelphia 76ers,3437,7028,48.9,3248,6485,50.1,189,543,34.8,1976,2509,1111,3517,1932,1209,9039,1990,True,Knocked Out
Boston Celtics,3563,7148,49.8,3457,6744,51.300000000000004,106,404,26.200000000000003,1791,2153,1066,3773,2423,1256,9023,1990,True,Knocked Out
Chicago Bulls,3531,7090,49.8,3281,6421,51.1,250,669,37.4,1665,2140,1075,3354,2172,1247,8977,1990,True,Knocked Out
Indiana Pacers,3381,6807,49.7,3087,6037,51.1,294,770,38.2,1906,2335,940,3328,2023,1342,8962,1990,True,Knocked Out
Atlanta Hawks,3417,7019,48.699999999999996,3293,6608,49.8,124,411,30.2,1943,2544,1273,3460,1820,1270,8901,1990,False,Never Qualified
New York Knicks,3434,7089,48.4,3198,6379,50.1,236,710,33.2,1775,2349,1187,3613,2140,1412,8879,1990,True,Knocked Out
Washington Wizards,3598,7581,47.5,3561,7384,48.199999999999996,37,197,18.8,1599,2093,1198,3648,2214,1201,8832,1990,False,Never Qualified
Oklahoma City Thunder,3466,7243,47.9,3235,6593,49.1,231,650,35.5,1606,2167,1323,3578,1874,1336,8769,1990,False,Never Qualified
Utah Jazz,3330,6593,50.5,3104,5963,52.1,226,630,35.9,1874,2484,953,3454,2212,1410,8760,1990,True,Knocked Out
Houston Rockets,3483,7250,48.0,3330,6759,49.3,153,491,31.2,1633,2267,1217,3855,2194,1513,8752,1990,True,Knocked Out
San Antonio Spurs,3388,6997,48.4,3334,6771,49.2,54,226,23.9,1888,2535,1163,3637,2037,1399,8718,1990,True,Knocked Out
Milwaukee Bucks,3380,7146,47.3,3171,6476,49.0,209,670,31.2,1722,2273,1108,3354,2046,1315,8691,1990,True,Knocked Out
Detroit Pistons,3333,6980,47.8,3156,6439,49.0,177,541,32.7,1713,2252,1185,3643,1996,1233,8556,1990,True,Champion
Los Angeles Clippers,3319,6853,48.4,3263,6623,49.3,56,230,24.3,1815,2458,1056,3418,1978,1547,8509,1990,False,Never Qualified
Cleveland Cavaliers,3214,6977,46.1,2868,6126,46.800000000000004,346,851,40.699999999999996,1637,2201,1128,3508,2106,1243,8411,1990,True,Knocked Out
Dallas Mavericks,3246,6831,47.5,3089,6345,48.699999999999996,157,486,32.300000000000004,1735,2261,1042,3461,1776,1228,8384,1990,True,Knocked Out
Sacramento Kings,3305,7056,46.800000000000004,3089,6407,48.199999999999996,216,649,33.300000000000004,1515,1964,952,3315,2052,1239,8341,1990,False,Never Qualified
Miami Heat,3383,7345,46.1,3295,7045,46.800000000000004,88,300,29.299999999999997,1393,2028,1242,3555,1957,1557,8247,1990,False,Never Qualified
Charlotte Hornets,3270,7183,45.5,3065,6572,46.6,205,611,33.6,1487,1967,962,3173,2080,1226,8232,1990,False,Never Qualified
Brooklyn Nets,3157,7415,42.6,3017,6909,43.7,140,506,27.700000000000003,1754,2350,1363,3687,1475,1360,8208,1990,False,Never Qualified
Minnesota Timberwolves,3067,6876,44.6,2994,6582,45.5,73,294,24.8,1596,2137,1196,3249,1844,1197,7803,1990,False,Never Qualified
Denver Nuggets,3901,8868,44.0,3601,7809,46.1,300,1059,28.299999999999997,1726,2263,1520,4050,2005,1332,9828,1991,False,Never Qualified
Golden State Warriors,3566,7346,48.5,3296,6545,50.4,270,801,33.7,2162,2761,1113,3419,1954,1359,9564,1991,True,Knocked Out
Portland Trail Blazers,3577,7369,48.5,3236,6465,50.1,341,904,37.7,1912,2538,1202,3763,2254,1309,9407,1991,True,Knocked Out
Phoenix Suns,3573,7199,49.6,3435,6767,50.8,138,432,31.900000000000002,2064,2680,1132,3730,2209,1302,9348,1991,True,Knocked Out
Indiana Pacers,3450,6994,49.3,3201,6245,51.300000000000004,249,749,33.2,2010,2479,1018,3394,2181,1355,9159,1991,True,Knocked Out
Boston Celtics,3695,7214,51.2,3586,6868,52.2,109,346,31.5,1646,1997,1088,3785,2160,1320,9145,1991,True,Knocked Out
Chicago Bulls,3632,7125,51.0,3477,6701,51.9,155,424,36.6,1605,2111,1148,3490,2212,1184,9024,1991,True,Champion
Atlanta Hawks,3349,7223,46.400000000000006,3078,6387,48.199999999999996,271,836,32.4,2034,2544,1235,3655,1864,1231,9003,1991,True,Knocked Out
San Antonio Spurs,3409,6988,48.8,3328,6691,49.7,81,297,27.3,1883,2459,1131,3788,2140,1445,8782,1991,True,Knocked Out
Houston Rockets,3403,7287,46.7,3087,6298,49.0,316,989,32.0,1631,2200,1275,3783,1906,1402,8753,1991,True,Knocked Out
Oklahoma City Thunder,3500,7117,49.2,3364,6690,50.3,136,427,31.900000000000002,1608,2143,1222,3395,2042,1404,8744,1991,True,Knocked Out
Milwaukee Bucks,3337,6948,48.0,3080,6195,49.7,257,753,34.1,1796,2241,1079,3241,2075,1321,8727,1991,True,Knocked Out
Los Angeles Lakers,3343,6911,48.4,3117,6167,50.5,226,744,30.4,1805,2261,1078,3518,2091,1203,8717,1991,True,Runner-Up
Orlando Magic,3298,7256,45.5,3028,6502,46.6,270,754,35.8,1818,2447,1233,3662,1809,1391,8684,1991,False,Never Qualified
Philadelphia 76ers,3289,6925,47.5,3094,6307,49.1,195,618,31.6,1868,2366,984,3480,1824,1230,8641,1991,True,Knocked Out
Utah Jazz,3214,6537,49.2,3066,6079,50.4,148,458,32.300000000000004,1951,2472,867,3341,2217,1305,8527,1991,True,Knocked Out
Los Angeles Clippers,3391,7315,46.400000000000006,3278,6881,47.599999999999994,113,434,26.0,1596,2273,1246,3746,2119,1438,8491,1991,False,Never Qualified
New York Knicks,3308,6822,48.5,3123,6264,49.9,185,558,33.2,1654,2147,1053,3489,2172,1379,8455,1991,True,Knocked Out
Brooklyn Nets,3311,7459,44.4,3150,6873,45.800000000000004,161,586,27.500000000000004,1658,2245,1400,3748,1782,1423,8441,1991,False,Never Qualified
Charlotte Hornets,3286,7033,46.7,3155,6616,47.699999999999996,131,417,31.4,1725,2214,1027,3227,2019,1290,8428,1991,False,Never Qualified
Miami Heat,3280,7139,45.9,3140,6675,47.0,140,464,30.2,1649,2307,1232,3534,1904,1551,8349,1991,False,Never Qualified
Cleveland Cavaliers,3259,6857,47.5,3099,6378,48.6,160,479,33.4,1665,2176,1011,3340,2240,1281,8343,1991,False,Never Qualified
Washington Wizards,3390,7268,46.6,3335,6984,47.8,55,284,19.400000000000002,1478,2028,1173,3563,2081,1359,8313,1991,False,Never Qualified
Detroit Pistons,3194,6875,46.5,3063,6435,47.599999999999994,131,440,29.799999999999997,1686,2211,1206,3658,1825,1181,8205,1991,True,Knocked Out
Dallas Mavericks,3245,6890,47.099999999999994,3052,6290,48.5,193,600,32.2,1512,1986,984,3344,1821,1186,8195,1991,False,Never Qualified
Minnesota Timberwolves,3265,7276,44.9,3157,6895,45.800000000000004,108,381,28.299999999999997,1531,2082,1275,3388,1885,1062,8169,1991,False,Never Qualified
Sacramento Kings,3086,6818,45.300000000000004,2870,6240,46.0,216,578,37.4,1540,2105,1027,3245,1991,1272,7928,1991,False,Never Qualified
Golden State Warriors,3767,7427,50.7,3513,6664,52.7,254,763,33.300000000000004,1944,2606,1137,3513,2064,1353,9732,1992,True,Knocked Out
Indiana Pacers,3498,7079,49.4,3165,6139,51.6,333,940,35.4,1868,2364,1083,3647,2398,1402,9197,1992,True,Knocked Out
Phoenix Suns,3553,7219,49.2,3326,6623,50.2,227,596,38.1,1861,2397,1088,3646,2202,1242,9194,1992,True,Knocked Out
Portland Trail Blazers,3476,7352,47.3,3151,6408,49.2,325,944,34.4,1858,2463,1294,3843,2065,1328,9135,1992,True,Runner-Up
Chicago Bulls,3643,7168,50.8,3505,6714,52.2,138,454,30.4,1587,2132,1173,3612,2279,1088,9011,1992,True,Champion
Charlotte Hornets,3613,7568,47.699999999999996,3496,7199,48.6,117,369,31.7,1637,2168,1164,3531,2284,1273,8980,1992,False,Never Qualified
Cleveland Cavaliers,3427,7025,48.8,3174,6317,50.2,253,708,35.699999999999996,1819,2259,1041,3491,2260,1073,8926,1992,True,Knocked Out
Utah Jazz,3379,6866,49.2,3221,6408,50.3,158,458,34.5,1961,2490,1097,3640,2188,1264,8877,1992,True,Knocked Out
Boston Celtics,3543,7196,49.2,3433,6837,50.2,110,359,30.599999999999998,1549,1917,1095,3678,2072,1165,8745,1992,True,Knocked Out
Oklahoma City Thunder,3380,7128,47.4,3175,6481,49.0,205,647,31.7,1772,2263,1282,3539,1877,1323,8737,1992,True,Knocked Out
Atlanta Hawks,3492,7476,46.7,3282,6805,48.199999999999996,210,671,31.3,1517,2074,1288,3786,2123,1255,8711,1992,False,Never Qualified
Brooklyn Nets,3473,7580,45.800000000000004,3249,6910,47.0,224,670,33.4,1471,2009,1512,3904,1937,1392,8641,1992,True,Knocked Out
Milwaukee Bucks,3321,7216,46.0,2950,6211,47.5,371,1005,36.9,1596,2104,1297,3469,2018,1350,8609,1992,False,Never Qualified
Miami Heat,3256,7061,46.1,2999,6310,47.5,257,751,34.2,1839,2329,1187,3553,1749,1377,8608,1992,True,Knocked Out
Sacramento Kings,3348,7189,46.6,3110,6514,47.699999999999996,238,675,35.3,1615,2162,1054,3408,1957,1360,8549,1992,False,Never Qualified
San Antonio Spurs,3377,7090,47.599999999999994,3259,6686,48.699999999999996,118,404,29.2,1652,2246,1229,3781,2010,1308,8524,1992,True,Knocked Out
Los Angeles Clippers,3347,7076,47.3,3202,6574,48.699999999999996,145,502,28.9,1601,2223,1132,3525,2053,1269,8440,1992,True,Knocked Out
Washington Wizards,3364,7301,46.1,3218,6764,47.599999999999994,146,537,27.200000000000003,1521,1956,1069,3414,2011,1254,8395,1992,False,Never Qualified
Houston Rockets,3273,6894,47.5,2944,5935,49.6,329,959,34.300000000000004,1491,2020,1074,3506,2058,1378,8366,1992,False,Never Qualified
Philadelphia 76ers,3187,6761,47.099999999999994,2960,6081,48.699999999999996,227,680,33.4,1757,2267,1058,3367,1755,1238,8358,1992,False,Never Qualified
Orlando Magic,3220,7102,45.300000000000004,3023,6494,46.6,197,608,32.4,1693,2268,1171,3500,1792,1389,8330,1992,False,Never Qualified
New York Knicks,3312,6947,47.699999999999996,3111,6329,49.2,201,618,32.5,1503,2049,1185,3674,2130,1242,8328,1992,True,Knocked Out
Minnesota Timberwolves,3366,7342,45.800000000000004,3240,6948,46.6,126,394,32.0,1379,1857,1167,3335,2025,1157,8237,1992,False,Never Qualified
Los Angeles Lakers,3183,6977,45.6,3064,6532,46.9,119,445,26.700000000000003,1744,2278,1156,3352,1803,1089,8229,1992,True,Knocked Out
Denver Nuggets,3262,7380,44.2,3136,6962,45.0,126,418,30.099999999999998,1526,2067,1350,3702,1553,1447,8176,1992,False,Never Qualified
Detroit Pistons,3191,6867,46.5,3026,6341,47.699999999999996,165,526,31.4,1566,2108,1210,3631,1899,1212,8113,1992,True,Knocked Out
Dallas Mavericks,3120,7104,43.9,2852,6307,45.2,268,797,33.6,1499,1999,1194,3633,1630,1202,8007,1992,False,Never Qualified
Phoenix Suns,3494,7093,49.3,3096,5998,51.6,398,1095,36.3,1912,2539,1141,3651,2087,1359,9298,1993,True,Runner-Up
Charlotte Hornets,3512,7210,48.699999999999996,3337,6673,50.0,175,537,32.6,1831,2374,1095,3603,2161,1325,9030,1993,True,Knocked Out
Golden State Warriors,3474,7212,48.199999999999996,3176,6360,49.9,298,852,35.0,1768,2465,1219,3603,2010,1451,9014,1993,False,Never Qualified
Portland Trail Blazers,3361,7343,45.800000000000004,3086,6500,47.5,275,843,32.6,1901,2551,1226,3733,1969,1215,8898,1993,True,Knocked Out
Oklahoma City Thunder,3473,7140,48.6,3255,6530,49.8,218,610,35.699999999999996,1720,2259,1222,3476,1906,1267,8884,1993,True,Knocked Out
Sacramento Kings,3360,7264,46.300000000000004,3098,6476,47.8,262,788,33.2,1865,2447,1137,3418,2075,1364,8847,1993,False,Never Qualified
Indiana Pacers,3371,7022,48.0,3114,6233,50.0,257,789,32.6,1837,2399,1220,3675,2144,1256,8836,1993,True,Knocked Out
Cleveland Cavaliers,3425,6887,49.7,3142,6145,51.1,283,742,38.1,1699,2119,929,3425,2349,1120,8832,1993,True,Knocked Out
Atlanta Hawks,3392,7272,46.6,3010,6196,48.6,382,1076,35.5,1648,2221,1290,3634,2084,1339,8814,1993,True,Knocked Out
Los Angeles Clippers,3544,7329,48.4,3411,6838,49.9,133,491,27.1,1562,2177,1183,3543,2242,1338,8783,1993,True,Knocked Out
Utah Jazz,3336,6828,48.9,3206,6414,50.0,130,414,31.4,1907,2491,1041,3504,2177,1270,8709,1993,True,Knocked Out
Orlando Magic,3257,6708,48.6,2940,5819,50.5,317,889,35.699999999999996,1821,2495,1040,3606,1952,1429,8652,1993,False,Never Qualified
San Antonio Spurs,3311,6762,49.0,3075,6070,50.7,236,692,34.1,1794,2346,919,3461,2012,1227,8652,1993,True,Knocked Out
Denver Nuggets,3352,7282,46.0,3214,6828,47.099999999999994,138,454,30.4,1784,2360,1266,3830,1735,1413,8626,1993,False,Never Qualified
Chicago Bulls,3475,7205,48.199999999999996,3231,6536,49.4,244,669,36.5,1431,1952,1290,3573,2133,1103,8625,1993,True,Champion
Philadelphia 76ers,3225,7075,45.6,2895,6134,47.199999999999996,330,941,35.099999999999994,1776,2259,1031,3462,2038,1362,8556,1993,False,Never Qualified
Los Angeles Lakers,3309,6994,47.3,3122,6368,49.0,187,626,29.9,1741,2304,1103,3391,2013,1266,8546,1993,True,Knocked Out
Houston Rockets,3280,6744,48.6,2893,5671,51.0,387,1073,36.1,1584,2090,985,3517,2115,1295,8531,1993,True,Knocked Out
Boston Celtics,3453,7093,48.699999999999996,3343,6710,49.8,110,383,28.7,1486,1912,1076,3512,1999,1174,8502,1993,True,Knocked Out
Miami Heat,3127,6850,45.6,2794,5910,47.3,333,940,35.4,1908,2476,1134,3518,1688,1287,8495,1993,False,Never Qualified
Brooklyn Nets,3272,7084,46.2,3117,6596,47.3,155,488,31.8,1732,2258,1291,3797,1872,1355,8431,1993,True,Knocked Out
Milwaukee Bucks,3268,6924,47.199999999999996,2956,5988,49.4,312,936,33.300000000000004,1544,2081,1050,3163,2084,1363,8392,1993,False,Never Qualified
Washington Wizards,3302,7065,46.7,3128,6487,48.199999999999996,174,578,30.099999999999998,1575,2107,1031,3348,2110,1323,8353,1993,False,Never Qualified
New York Knicks,3209,6898,46.5,3016,6294,47.9,193,604,32.0,1717,2316,1150,3810,2125,1296,8328,1993,True,Knocked Out
Detroit Pistons,3267,7211,45.300000000000004,2975,6303,47.199999999999996,292,908,32.2,1426,1957,1293,3608,1941,1152,8252,1993,False,Never Qualified
Dallas Mavericks,3164,7271,43.5,2881,6434,44.800000000000004,283,837,33.800000000000004,1530,2171,1234,3499,1683,1459,8141,1993,False,Never Qualified
Minnesota Timberwolves,3043,6529,46.6,2877,5960,48.3,166,569,29.2,1794,2247,940,3144,2001,1422,8046,1993,False,Never Qualified
Phoenix Suns,3429,7080,48.4,3085,6038,51.1,344,1042,33.0,1674,2301,1220,3673,2261,1305,8876,1994,True,Knocked Out
Golden State Warriors,3512,7145,49.2,3221,6286,51.2,291,859,33.900000000000006,1529,2304,1183,3579,2198,1433,8844,1994,True,Knocked Out
Portland Trail Blazers,3371,7427,45.4,3099,6657,46.6,272,770,35.3,1781,2396,1302,3762,2070,1210,8795,1994,True,Knocked Out
Charlotte Hornets,3382,7100,47.599999999999994,3046,6184,49.3,336,916,36.7,1632,2135,1019,3494,2214,1266,8732,1994,False,Never Qualified
Oklahoma City Thunder,3338,6901,48.4,3096,6179,50.1,242,722,33.5,1769,2374,1148,3381,2112,1262,8687,1994,True,Knocked Out
Orlando Magic,3341,6883,48.5,2947,5746,51.300000000000004,394,1137,34.699999999999996,1590,2346,1177,3533,2070,1327,8666,1994,True,Knocked Out
Miami Heat,3197,6896,46.400000000000006,2860,5899,48.5,337,997,33.800000000000004,1744,2223,1235,3642,1856,1315,8475,1994,True,Knocked Out
Brooklyn Nets,3169,7115,44.5,2946,6432,45.800000000000004,223,683,32.7,1900,2495,1300,3856,1900,1196,8461,1994,True,Knocked Out
Los Angeles Clippers,3343,7163,46.7,3091,6332,48.8,252,831,30.3,1509,2128,1120,3530,2169,1474,8447,1994,False,Never Qualified
Utah Jazz,3207,6729,47.699999999999996,3028,6170,49.1,179,559,32.0,1761,2379,1059,3444,2179,1191,8354,1994,True,Knocked Out
Atlanta Hawks,3247,7039,46.1,2979,6209,48.0,268,830,32.300000000000004,1556,2070,1250,3673,2056,1252,8318,1994,True,Knocked Out
Cleveland Cavaliers,3133,6731,46.5,2839,5918,48.0,294,813,36.199999999999996,1736,2254,1090,3443,2049,1136,8296,1994,True,Knocked Out
Houston Rockets,3197,6733,47.5,2768,5448,50.8,429,1285,33.4,1469,1978,926,3545,2087,1338,8292,1994,True,Champion
Sacramento Kings,3179,7027,45.2,2922,6298,46.400000000000006,257,729,35.3,1676,2292,1122,3471,2029,1333,8291,1994,False,Never Qualified
Indiana Pacers,3167,6516,48.6,2983,6016,49.6,184,500,36.8,1762,2387,1130,3539,2055,1440,8280,1994,True,Knocked Out
Boston Celtics,3333,7057,47.199999999999996,3195,6580,48.6,138,477,28.9,1463,2003,1037,3417,1928,1242,8267,1994,False,Never Qualified
Los Angeles Lakers,3291,7316,45.0,3050,6513,46.800000000000004,241,803,30.0,1410,1967,1260,3464,1983,1197,8233,1994,False,Never Qualified
Washington Wizards,3195,6826,46.800000000000004,2974,6082,48.9,221,744,29.7,1618,2162,1071,3260,1823,1403,8229,1994,False,Never Qualified
Denver Nuggets,3156,6781,46.5,2986,6184,48.3,170,597,28.499999999999996,1739,2423,1105,3662,1763,1422,8221,1994,True,Knocked Out
San Antonio Spurs,3178,6688,47.5,2929,5974,49.0,249,714,34.9,1597,2151,1189,3786,1896,1198,8202,1994,True,Knocked Out
New York Knicks,3098,6735,46.0,2782,5827,47.699999999999996,316,908,34.8,1564,2097,1175,3717,2067,1360,8076,1994,True,Runner-Up
Philadelphia 76ers,3103,6819,45.5,2785,5877,47.4,318,942,33.800000000000004,1509,2112,1012,3406,1827,1368,8033,1994,False,Never Qualified
Chicago Bulls,3245,6815,47.599999999999994,3012,6156,48.9,233,659,35.4,1310,1859,1143,3534,2102,1306,8033,1994,True,Knocked Out
Milwaukee Bucks,3044,6807,44.7,2713,5788,46.9,331,1019,32.5,1530,2181,1126,3280,1946,1343,7949,1994,False,Never Qualified
Detroit Pistons,3169,7017,45.2,2811,5976,47.0,358,1041,34.4,1253,1715,1027,3347,1767,1236,7949,1994,False,Never Qualified
Minnesota Timberwolves,2985,6535,45.7,2802,5978,46.9,183,557,32.9,1777,2303,990,3333,1967,1478,7930,1994,False,Never Qualified
Dallas Mavericks,3055,7070,43.2,2814,6297,44.7,241,773,31.2,1450,1942,1271,3421,1629,1393,7801,1994,False,Never Qualified
Orlando Magic,3460,6899,50.2,2937,5487,53.5,523,1412,37.0,1648,2465,1149,3606,2281,1297,9091,1995,True,Runner-Up
Phoenix Suns,3356,6967,48.199999999999996,2772,5383,51.5,584,1584,36.9,1777,2352,1027,3430,2198,1167,9073,1995,True,Knocked Out
Oklahoma City Thunder,3310,6741,49.1,2819,5436,51.9,491,1305,37.6,1944,2564,1068,3405,2115,1295,9055,1995,True,Knocked Out
San Antonio Spurs,3236,6687,48.4,2802,5529,50.7,434,1158,37.5,1836,2487,1029,3690,1919,1246,8742,1995,True,Knocked Out
Utah Jazz,3243,6339,51.2,2942,5538,53.1,301,801,37.6,1939,2483,874,3286,2256,1289,8726,1995,True,Knocked Out
Golden State Warriors,3217,6873,46.800000000000004,2671,5271,50.7,546,1602,34.1,1687,2395,1101,3472,2017,1497,8667,1995,False,Never Qualified
Los Angeles Lakers,3284,7088,46.300000000000004,2759,5596,49.3,525,1492,35.199999999999996,1523,2072,1126,3442,2078,1243,8616,1995,True,Knocked Out
Houston Rockets,3159,6579,48.0,2513,4822,52.1,646,1757,36.8,1527,2039,880,3320,2060,1322,8491,1995,True,Champion
Dallas Mavericks,3227,7342,44.0,2841,6142,46.300000000000004,386,1200,32.2,1622,2210,1514,3947,1941,1345,8462,1995,False,Never Qualified
Portland Trail Blazers,3217,7134,45.1,2755,5868,46.9,462,1266,36.5,1555,2230,1352,3795,1846,1212,8451,1995,True,Knocked Out
Boston Celtics,3179,6847,46.400000000000006,2817,5863,48.0,362,984,36.8,1708,2268,1156,3476,1783,1305,8428,1995,True,Knocked Out
Chicago Bulls,3191,6710,47.599999999999994,2748,5523,49.8,443,1187,37.3,1500,2065,1106,3400,1970,1297,8325,1995,True,Knocked Out
Denver Nuggets,3098,6461,47.9,2685,5301,50.7,413,1160,35.6,1700,2305,1040,3442,1836,1381,8309,1995,True,Knocked Out
Miami Heat,3144,6738,46.7,2708,5556,48.699999999999996,436,1182,36.9,1569,2133,1092,3364,1779,1291,8293,1995,False,Never Qualified
